Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,1090006,-,-,-,36.01,-78.94,-5,120,-5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,3.0.6
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,Solar Zenith Angle,Fill Flag,Surface Albedo,Wind Speed,Precipitable Water,Wind Direction,Relative Humidity,Temperature,Pressure,Global Horizontal UV Irradiance (280-400nm),Global Horizontal UV Irradiance (295-385nm),
2017,1,1,0,0,0,0,0,0,0,0,8,0,166.31,0,0.114,0.5,2.141,225.20000000000002,86.56,3,1000,0.0000,0.0000,N/A
2017,1,1,0,30,0,0,0,0,0,0,8,0,166.76,0,0.114,0.5,2.194,225.20000000000002,86.57000000000001,3,1000,0.0000,0.0000,N/A
2017,1,1,1,0,0,0,0,0,0,0,8,1,164.27,0,0.114,0.5,2.247,229.10000000000002,91.42,3,1000,0.0000,0.0000,N/A
2017,1,1,1,30,0,0,0,0,0,0,8,1,159.9,0,0.114,0.5,2.309,229.10000000000002,91.43,3,1000,0.0000,0.0000,N/A
2017,1,1,2,0,0,0,0,0,0,0,8,2,154.62,0,0.114,0.5,2.371,233.60000000000002,96.27,3,1000,0.0000,0.0000,N/A
2017,1,1,2,30,0,0,0,0,0,0,8,2,148.92000000000002,0,0.114,0.4,2.388,233.60000000000002,96.27,3,1000,0.0000,0.0000,N/A
2017,1,1,3,0,0,0,0,0,0,0,8,2,143,0,0.114,0.4,2.406,235.70000000000002,99.97,4,1000,0.0000,0.0000,N/A
2017,1,1,3,30,0,0,0,0,0,0,8,2,136.97,0,0.114,0.4,2.399,235.70000000000002,99.96000000000001,4,1000,0.0000,0.0000,N/A
2017,1,1,4,0,0,0,0,0,0,0,8,3,130.91,0,0.114,0.4,2.3930000000000002,238.70000000000002,95.23,4,1000,0.0000,0.0000,N/A
2017,1,1,4,30,0,0,0,0,0,0,8,3,124.85000000000001,0,0.114,0.30000000000000004,2.396,238.70000000000002,95.25,4,1000,0.0000,0.0000,N/A
2017,1,1,5,0,0,0,0,0,0,0,8,3,118.83,0,0.114,0.30000000000000004,2.399,239.70000000000002,96.67,4,1000,0.0000,0.0000,N/A
2017,1,1,5,30,0,0,0,0,0,0,8,3,112.87,0,0.114,0.30000000000000004,2.4050000000000002,239.70000000000002,96.71000000000001,4,1000,0.0000,0.0000,N/A
2017,1,1,6,0,0,0,0,0,0,0,6,3,107,0,0.114,0.30000000000000004,2.4130000000000003,243.4,97.87,4,1000,0.0000,0.0000,N/A
2017,1,1,6,30,0,0,0,0,0,0,8,3,101.24000000000001,0,0.114,0.30000000000000004,2.4050000000000002,243.4,97.91,4,1000,0.0000,0.0000,N/A
2017,1,1,7,0,0,0,0,0,0,0,6,3,95.63,0,0.114,0.30000000000000004,2.398,250,99.15,4,1000,0.0000,0.0000,N/A
2017,1,1,7,30,0,0,0,0,0,0,8,3,90.2,0,0.114,0.30000000000000004,2.382,250,99.18,4,1000,0.0000,0.0000,N/A
2017,1,1,8,0,31,50,36,33,217,52,8,4,85,4,0.114,0.30000000000000004,2.366,248.70000000000002,100,4,1000,0.0000,0.0000,N/A
2017,1,1,8,30,67,114,87,57,395,126,8,4,80.07000000000001,4,0.114,0.30000000000000004,2.384,248.70000000000002,100,4,1000,0.0000,0.0000,N/A
2017,1,1,9,0,103,149,140,77,503,203,8,4,75.47,4,0.114,0.4,2.402,242.20000000000002,97.76,5,1000,6.8185,5.2355,N/A
2017,1,1,9,30,130,192,192,89,584,277,8,4,71.27,0,0.114,0.4,2.474,242.20000000000002,97.78,5,1000,9.7163,7.5117,N/A
2017,1,1,10,0,160,208,239,101,634,343,8,5,67.54,0,0.114,0.4,2.547,248.4,95.58,6,1000,12.4972,9.7048,N/A
2017,1,1,10,30,182,63,210,108,674,399,8,5,64.38,0,0.114,0.4,2.626,248.4,95.57000000000001,6,1000,11.2519,8.7625,N/A
2017,1,1,11,0,203,68,235,115,694,442,8,5,61.870000000000005,0,0.114,0.4,2.706,250.70000000000002,92.85000000000001,7,1000,12.8081,9.9923,N/A
2017,1,1,11,30,102,0,102,118,711,473,8,5,60.1,0,0.114,0.30000000000000004,2.7920000000000003,250.70000000000002,92.82000000000001,7,1000,5.6201,4.3892,N/A
2017,1,1,12,0,121,0,121,122,713,488,8,6,59.13,0,0.114,0.30000000000000004,2.879,250.4,89.33,8,1000,6.7043,5.2388,N/A
2017,1,1,12,30,124,0,124,122,713,490,8,6,59,0,0.114,0.30000000000000004,2.947,250.4,89.31,8,1000,6.8755,5.3729,N/A
2017,1,1,13,0,185,14,193,121,705,476,8,6,59.71,0,0.114,0.30000000000000004,3.016,242.5,91.75,8,1000,10.6583,8.3258,N/A
2017,1,1,13,30,53,0,53,118,689,449,8,6,61.25,0,0.114,0.2,3.0380000000000003,242.5,91.76,8,1000,2.9000,2.2633,N/A
2017,1,1,14,0,118,0,118,114,661,408,4,7,63.54,0,0.114,0.2,3.06,225.60000000000002,94.17,8,1000,6.3601,4.9562,N/A
2017,1,1,14,30,92,0,92,107,623,355,8,7,66.51,0,0.114,0.1,3.053,225.60000000000002,94.17,8,1000,4.8508,3.7707,N/A
2017,1,1,15,0,76,0,76,94,582,293,8,7,70.07000000000001,4,0.114,0.1,3.047,186.3,97.41,8,1000,3.8883,3.0108,N/A
2017,1,1,15,30,57,0,57,82,508,221,8,7,74.13,4,0.114,0.1,3.016,186.3,100,7,1000,2.8091,2.1621,N/A
2017,1,1,16,0,38,0,38,64,419,146,8,7,78.62,4,0.114,0.1,2.985,137.20000000000002,100,7,1000,1.8140,1.3850,N/A
2017,1,1,16,30,18,0,18,41,264,72,8,6,83.45,4,0.114,0.1,2.934,137.20000000000002,100,6,1000,0.0000,0.0000,N/A
2017,1,1,17,0,3,0,3,11,56,13,8,6,88.58,4,0.114,0.2,2.883,126.2,100,6,1000,0.0000,0.0000,N/A
2017,1,1,17,30,0,0,0,0,0,0,8,6,93.94,0,0.114,0.2,2.842,126.2,100,6,1000,0.0000,0.0000,N/A
2017,1,1,18,0,0,0,0,0,0,0,8,7,99.5,0,0.114,0.2,2.802,128.1,100,7,1000,0.0000,0.0000,N/A
2017,1,1,18,30,0,0,0,0,0,0,8,7,105.22,0,0.114,0.2,2.802,128.1,100,7,1000,0.0000,0.0000,N/A
2017,1,1,19,0,0,0,0,0,0,0,8,7,111.06,0,0.114,0.30000000000000004,2.802,131.8,100,7,1000,0.0000,0.0000,N/A
2017,1,1,19,30,0,0,0,0,0,0,8,7,116.99000000000001,0,0.114,0.30000000000000004,2.914,131.8,100,7,1000,0.0000,0.0000,N/A
2017,1,1,20,0,0,0,0,0,0,0,8,7,123,0,0.114,0.30000000000000004,3.027,133.6,100,7,1010,0.0000,0.0000,N/A
2017,1,1,20,30,0,0,0,0,0,0,8,7,129.05,0,0.114,0.30000000000000004,3.185,133.6,100,7,1000,0.0000,0.0000,N/A
