Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,1090006,-,-,-,36.01,-78.94,-5,120,-5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,3.0.6
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,Solar Zenith Angle,Fill Flag,Surface Albedo,Wind Speed,Precipitable Water,Wind Direction,Relative Humidity,Temperature,Pressure,Global Horizontal UV Irradiance (280-400nm),Global Horizontal UV Irradiance (295-385nm),
2015,1,1,0,0,0,0,0,0,0,0,0,-4,166.37,0,0.114,0.30000000000000004,0.708,291.5,86.41,-3,1010,0.0000,0.0000,N/A
2015,1,1,0,30,0,0,0,0,0,0,0,-4,166.8,0,0.114,0.30000000000000004,0.669,291.5,86.42,-3,1010,0.0000,0.0000,N/A
2015,1,1,1,0,0,0,0,0,0,0,0,-5,164.27,0,0.114,0.30000000000000004,0.631,290.1,84.69,-3,1010,0.0000,0.0000,N/A
2015,1,1,1,30,0,0,0,0,0,0,0,-5,159.89000000000001,0,0.114,0.30000000000000004,0.6,290.1,84.69,-3,1010,0.0000,0.0000,N/A
2015,1,1,2,0,0,0,0,0,0,0,0,-5,154.61,0,0.114,0.30000000000000004,0.5690000000000001,285.7,89.08,-4,1010,0.0000,0.0000,N/A
2015,1,1,2,30,0,0,0,0,0,0,0,-5,148.89000000000001,0,0.114,0.2,0.553,285.7,89.05,-4,1010,0.0000,0.0000,N/A
2015,1,1,3,0,0,0,0,0,0,0,0,-5,142.97,0,0.114,0.2,0.538,279.6,87.49,-4,1010,0.0000,0.0000,N/A
2015,1,1,3,30,0,0,0,0,0,0,0,-5,136.95000000000002,0,0.114,0.2,0.535,279.6,87.47,-4,1010,0.0000,0.0000,N/A
2015,1,1,4,0,0,0,0,0,0,0,0,-5,130.88,0,0.114,0.30000000000000004,0.532,271.2,86.99,-4,1010,0.0000,0.0000,N/A
2015,1,1,4,30,0,0,0,0,0,0,0,-5,124.83,0,0.114,0.30000000000000004,0.537,271.2,87.01,-4,1010,0.0000,0.0000,N/A
2015,1,1,5,0,0,0,0,0,0,0,0,-5,118.8,0,0.114,0.30000000000000004,0.542,267.8,87.31,-4,1010,0.0000,0.0000,N/A
2015,1,1,5,30,0,0,0,0,0,0,0,-5,112.85000000000001,0,0.114,0.30000000000000004,0.552,267.8,87.33,-4,1010,0.0000,0.0000,N/A
2015,1,1,6,0,0,0,0,0,0,0,0,-5,106.97,0,0.114,0.30000000000000004,0.5630000000000001,267.3,87.78,-4,1010,0.0000,0.0000,N/A
2015,1,1,6,30,0,0,0,0,0,0,0,-5,101.22,0,0.114,0.30000000000000004,0.5740000000000001,267.3,87.79,-4,1010,0.0000,0.0000,N/A
2015,1,1,7,0,0,0,0,0,0,0,0,-5,95.61,0,0.114,0.30000000000000004,0.585,266.2,89.46000000000001,-4,1010,0.0000,0.0000,N/A
2015,1,1,7,30,0,0,0,0,0,0,0,-5,90.18,0,0.114,0.30000000000000004,0.602,266.2,77.11,-2,1010,0.0000,0.0000,N/A
2015,1,1,8,0,27,431,65,27,431,65,0,-4,84.99,0,0.114,0.4,0.62,258.3,75.04,-1,1010,0.0000,0.0000,N/A
2015,1,1,8,30,42,615,148,42,615,148,0,-4,80.06,0,0.114,0.4,0.652,258.3,69.78,0,1010,0.0000,0.0000,N/A
2015,1,1,9,0,52,722,234,52,722,234,0,-4,75.47,0,0.114,0.4,0.684,249.8,67.65,1,1010,11.3966,8.7508,N/A
2015,1,1,9,30,60,792,314,60,792,314,0,-4,71.27,0,0.114,0.4,0.724,249.8,62.96,3,1010,15.8903,12.2847,N/A
2015,1,1,10,0,66,835,385,66,835,385,0,-4,67.56,0,0.114,0.5,0.764,260,52.39,5,1010,20.1282,15.6303,N/A
2015,1,1,10,30,70,867,445,70,867,445,0,-4,64.4,0,0.114,0.5,0.802,260,48.83,5,1010,23.8399,18.5653,N/A
2015,1,1,11,0,74,884,491,74,884,491,0,-4,61.9,0,0.114,0.6000000000000001,0.842,251.3,46.94,6,1010,26.7556,20.8731,N/A
2015,1,1,11,30,76,897,523,76,897,523,0,-4,60.13,0,0.114,0.6000000000000001,0.879,251.3,46.910000000000004,6,1010,28.8115,22.5012,N/A
2015,1,1,12,0,77,901,539,77,901,539,0,-3,59.17,0,0.114,0.6000000000000001,0.916,242.60000000000002,46.910000000000004,7,1010,29.8579,23.3305,N/A
2015,1,1,12,30,78,900,541,78,900,541,0,-3,59.04,0,0.114,0.6000000000000001,0.961,242.60000000000002,46.88,7,1000,29.9906,23.4358,N/A
2015,1,1,13,0,77,890,526,77,890,526,0,-2,59.77,0,0.114,0.7000000000000001,1.006,238.8,47.46,8,1000,29.0379,22.6825,N/A
2015,1,1,13,30,76,875,496,76,875,496,0,-2,61.31,0,0.114,0.7000000000000001,1.063,238.8,47.44,8,1000,27.1291,21.1724,N/A
2015,1,1,14,0,73,850,452,73,850,452,0,-1,63.6,0,0.114,0.7000000000000001,1.119,236.60000000000002,51.93,8,1000,24.3523,18.9759,N/A
2015,1,1,14,30,70,817,394,70,817,394,0,-1,66.57000000000001,0,0.114,0.6000000000000001,1.158,236.60000000000002,51.910000000000004,8,1000,20.7642,16.1399,N/A
2015,1,1,15,0,64,769,326,64,769,326,0,0,70.14,0,0.114,0.5,1.198,233.3,58.96,8,1000,16.6682,12.9055,N/A
2015,1,1,15,30,57,702,248,57,702,248,0,0,74.2,0,0.114,0.4,1.211,233.3,67.59,6,1000,12.2141,9.3997,N/A
2015,1,1,16,0,47,604,166,47,604,166,0,2,78.69,0,0.114,0.30000000000000004,1.225,223.10000000000002,81.46000000000001,5,1000,7.9227,6.0482,N/A
2015,1,1,16,30,33,443,83,33,443,83,0,2,83.52,0,0.114,0.30000000000000004,1.245,223.10000000000002,93.73,3,1000,0.0000,0.0000,N/A
2015,1,1,17,0,15,0,15,12,162,15,4,1,88.65,4,0.114,0.4,1.266,221.70000000000002,93.55,2,1000,0.0000,0.0000,N/A
2015,1,1,17,30,0,0,0,0,0,0,0,1,94.01,0,0.114,0.4,1.319,221.70000000000002,93.58,2,1000,0.0000,0.0000,N/A
2015,1,1,18,0,0,0,0,0,0,0,1,1,99.57000000000001,0,0.114,0.4,1.373,223.9,94.77,2,1000,0.0000,0.0000,N/A
2015,1,1,18,30,0,0,0,0,0,0,4,1,105.29,0,0.114,0.4,1.436,223.9,94.77,2,1000,0.0000,0.0000,N/A
2015,1,1,19,0,0,0,0,0,0,0,4,1,111.13,0,0.114,0.4,1.5010000000000001,224.3,96.23,2,1000,0.0000,0.0000,N/A
2015,1,1,19,30,0,0,0,0,0,0,4,1,117.06,0,0.114,0.4,1.571,224.3,96.23,2,1000,0.0000,0.0000,N/A
2015,1,1,20,0,0,0,0,0,0,0,4,1,123.07000000000001,0,0.114,0.4,1.641,224.10000000000002,98.66,3,1000,0.0000,0.0000,N/A
2015,1,1,20,30,0,0,0,0,0,0,7,1,129.12,0,0.114,0.4,1.718,224.10000000000002,98.67,3,1000,0.0000,0.0000,N/A
2015,1,1,21,0,0,0,0,0,0,0,7,2,135.18,0,0.114,0.4,1.795,227.60000000000002,93.92,3,1000,0.0000,0.0000,N/A
2015,1,1,21,30,0,0,0,0,0,0,7,2,141.22,0,0.114,0.30000000000000004,1.871,227.60000000000002,93.9,3,1000,0.0000,0.0000,N/A
2015,1,1,22,0,0,0,0,0,0,0,7,2,147.17000000000002,0,0.114,0.30000000000000004,1.948,231.20000000000002,95.96000000000001,3,1000,0.0000,0.0000,N/A
